source,series,frequency_hz,sine_v_rms,input_mode,coupling,sensitivity_a,time_constant_s,settling_s,n,current_rms_a,current_sd_a,g_magnitude_s,g_sd_s,g_real_s,g_imag_s,phase_deg,pair_difference_fraction
coupling_20260924T101535Z.jsonl,coupling,0.04,0.1,current_1e6,DC,2.0000000000000002e-07,0.30000000000000004,75.0,3,9.8597e-08,0.0,9.8597e-07,0.0,9.860419999999999e-07,0.0,0.0,7.302453421495868e-05
coupling_20260924T101535Z.jsonl,coupling,0.04,0.1,current_1e6,AC,2.0000000000000002e-07,0.30000000000000004,75.0,3,2.3727e-08,0.0,2.3727e-07,0.0,5.73348e-08,2.30358e-07,76.0233957833089,0.0004886677781834641
coupling_20260924T101535Z.jsonl,coupling,0.08,0.1,current_1e6,DC,2.0000000000000002e-07,0.30000000000000004,37.5,3,9.8597e-08,0.0,9.8597e-07,0.0,9.860419999999999e-07,0.0,0.0,7.302453421495868e-05
coupling_20260924T101535Z.jsonl,coupling,0.08,0.1,current_1e6,AC,2.0000000000000002e-07,0.30000000000000004,37.5,3,4.38451e-08,0.0,4.38451e-07,0.0,1.95215e-07,3.92613e-07,63.56252047688955,3.7932717065090135e-05
coupling_20260924T101535Z.jsonl,coupling,0.16,0.1,current_1e6,DC,2.0000000000000002e-07,0.30000000000000004,18.75,3,9.8597e-08,0.0,9.8597e-07,0.0,9.860419999999999e-07,0.0,0.0,7.302453421495868e-05
coupling_20260924T101535Z.jsonl,coupling,0.16,0.1,current_1e6,AC,2.0000000000000002e-07,0.30000000000000004,18.75,3,6.94713e-08,0.0,6.94713e-07,0.0,4.89965e-07,4.92585e-07,45.152780608146145,8.239069146392669e-05
coupling_20260924T101535Z.jsonl,coupling,0.32,0.1,current_1e6,DC,2.0000000000000002e-07,0.30000000000000004,9.375,3,9.8597e-08,0.0,9.8597e-07,0.0,9.860419999999999e-07,0.0,0.0,7.302453421495868e-05
coupling_20260924T101535Z.jsonl,coupling,0.32,0.1,current_1e6,AC,2.0000000000000002e-07,0.30000000000000004,15,3,8.802256666666666e-08,4.214656965082934e-12,8.802256666666666e-07,4.214656965082934e-11,7.865839999999998e-07,3.95305e-07,26.682234641969377,0.00011822254099468046
coupling_20260924T101535Z.jsonl,coupling,0.64,0.1,current_1e6,DC,2.0000000000000002e-07,0.30000000000000004,4.6875,3,9.8597e-08,0.0,9.8597e-07,0.0,9.860419999999999e-07,0.0,0.0,7.302453421495868e-05
coupling_20260924T101535Z.jsonl,coupling,0.64,0.1,current_1e6,AC,2.0000000000000002e-07,0.30000000000000004,15,3,9.555803333333334e-08,4.214656965082935e-12,9.555803333333334e-07,4.2146569650829346e-11,9.268403333333332e-07,2.32977e-07,14.109931493504167,9.719492801533104e-05
coupling_20260924T101535Z.jsonl,coupling,1.28,0.1,current_1e6,DC,2.0000000000000002e-07,0.30000000000000004,4.500000000000001,3,9.8597e-08,0.0,9.8597e-07,0.0,9.860419999999999e-07,0.0,0.0,7.302453421495868e-05
coupling_20260924T101535Z.jsonl,coupling,1.28,0.1,current_1e6,AC,2.0000000000000002e-07,0.30000000000000004,15,3,9.776993333333333e-08,4.214656965082934e-12,9.776993333333333e-07,4.214656965082934e-11,9.701079999999998e-07,1.2197e-07,7.16609747408017,4.719343728183224e-05
coupling_20260924T101535Z.jsonl,coupling,3.1,0.1,current_1e6,DC,2.0000000000000002e-07,0.1,1.5,3,9.8597e-08,0.0,9.8597e-07,0.0,9.860419999999999e-07,-2.4253366666666665e-11,-0.0014092863678251393,7.302483673548901e-05
coupling_20260924T101535Z.jsonl,coupling,3.1,0.1,current_1e6,AC,2.0000000000000002e-07,0.1,15,3,9.84223e-08,0.0,9.842229999999998e-07,0.0,9.829139999999997e-07,5.0980466666666665e-08,2.9690802229752293,1.2400963007314244e-05
coupling_20260924T101535Z.jsonl,coupling,13.033,0.1,current_1e6,DC,2.0000000000000002e-07,0.1,1.5,3,9.8597e-08,0.0,9.8597e-07,0.0,9.860419999999999e-07,-1.4551999999999998e-10,-0.008455706525901163,7.303542492666685e-05
coupling_20260924T101535Z.jsonl,coupling,13.033,0.1,current_1e6,AC,2.0000000000000002e-07,0.1,15,3,9.85533e-08,0.0,9.85533e-07,0.0,9.85533e-07,1.20054e-08,0.6979215613436809,7.419332268993967e-05
frequency_20260924T094934Z.jsonl,frequency,0.1,0.1,current_1e6,DC,2.0000000000000002e-07,0.30000000000000004,30.0,3,9.86285e-08,4.156921938160849e-12,9.86285e-07,4.156921938160849e-11,9.863573333333332e-07,0.0,0.0,7.333918018948474e-05
frequency_20260924T094934Z.jsonl,frequency,0.2,0.1,current_1e6,DC,2.0000000000000002e-07,0.30000000000000004,15.0,3,9.86261e-08,0.0,9.86261e-07,0.0,9.863329999999998e-07,0.0,0.0,7.300298805277996e-05
frequency_20260924T094934Z.jsonl,frequency,0.5,0.1,current_1e6,DC,2.0000000000000002e-07,0.30000000000000004,6.0,3,9.86261e-08,0.0,9.86261e-07,0.0,9.863329999999998e-07,0.0,0.0,7.300298805277996e-05
frequency_20260924T094934Z.jsonl,frequency,1.0,0.1,current_1e6,DC,2.0000000000000002e-07,0.30000000000000004,4.500000000000001,3,9.86261e-08,0.0,9.86261e-07,0.0,9.863329999999998e-07,0.0,0.0,7.300298805277996e-05
