source,timestamp,frequency_hz,source_v_rms,x_v,y_v,magnitude_v,phase_deg,unit,status_word
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:27:42.072+00:00,13.033,0.1,0.090569,-0.00110627,0.0905766,-0.696,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:27:42.622+00:00,13.033,0.1,0.0905766,-0.00110627,0.0905766,-0.696,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:27:43.189+00:00,13.033,0.1,0.090569,-0.00110627,0.0905766,-0.696,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:27:50.936+00:00,73.0,0.1,0.0901494,-0.00604251,0.0903554,-3.834,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:27:51.477+00:00,73.0,0.1,0.0901494,-0.00604251,0.0903554,-3.834,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:27:51.979+00:00,73.0,0.1,0.0901494,-0.00604251,0.0903554,-3.834,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:28:00.530+00:00,173.0,0.1,0.0883107,-0.0139619,0.0894094,-8.982,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:28:01.572+00:00,173.0,0.1,0.0883107,-0.0139619,0.0894094,-8.982,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:28:02.284+00:00,173.0,0.1,0.0883107,-0.0139619,0.0894094,-8.982,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:28:11.863+00:00,333.0,0.1,0.0828176,-0.0251695,0.0865636,-16.902,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:28:12.430+00:00,333.0,0.1,0.0828176,-0.0251695,0.0865636,-16.902,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:28:13.008+00:00,333.0,0.1,0.0828176,-0.0251695,0.0865636,-16.902,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:28:20.653+00:00,733.0,0.1,0.062531,-0.0417025,0.0751576,-33.696,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:28:21.167+00:00,733.0,0.1,0.062531,-0.0417025,0.0751576,-33.696,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:28:21.686+00:00,733.0,0.1,0.062531,-0.0417025,0.0751576,-33.696,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:28:29.286+00:00,1033.0,0.1,0.0479968,-0.0450213,0.065804,-43.164,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:28:29.826+00:00,1033.0,0.1,0.0479968,-0.0450213,0.065804,-43.164,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:28:30.344+00:00,1033.0,0.1,0.0479968,-0.0450213,0.065804,-43.164,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:28:37.917+00:00,3333.0,0.1,0.00902563,-0.026848,0.0283204,-71.418,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:28:38.479+00:00,3333.0,0.1,0.00902563,-0.026848,0.0283204,-71.418,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:28:39.170+00:00,3333.0,0.1,0.00902563,-0.026848,0.0283204,-71.418,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:28:46.713+00:00,10330.0,0.1,0.00115968,-0.00954443,0.00960547,-83.07,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:28:47.221+00:00,10330.0,0.1,0.00115968,-0.00954443,0.00960547,-83.07,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:28:47.751+00:00,10330.0,0.1,0.00115205,-0.00954443,0.00960547,-83.106,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:28:55.310+00:00,33330.0,0.1,0.000205995,-0.003006,0.003006,-85.932,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:28:55.810+00:00,33330.0,0.1,0.000205995,-0.003006,0.003006,-85.932,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:28:56.322+00:00,33330.0,0.1,0.000205995,-0.003006,0.003006,-85.932,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:29:04.885+00:00,70000.0,0.1,0.000129701,-0.00143433,0.00143433,-84.684,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:29:05.418+00:00,70000.0,0.1,0.000129701,-0.00143433,0.00143433,-84.684,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:29:05.943+00:00,70000.0,0.1,0.000129701,-0.00143433,0.00143433,-84.684,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:29:13.728+00:00,102000.0,0.1,9.91826e-05,-0.000984199,0.000984199,-84.174,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:29:14.294+00:00,102000.0,0.1,9.91826e-05,-0.000984199,0.000984199,-84.174,V,0
voltage_check_20260924T102723Z.jsonl,2026-09-24T10:29:15.096+00:00,102000.0,0.1,9.91826e-05,-0.000984199,0.000984199,-84.174,V,0
